# ==============================================================================
# EXPLICAÇÃO DAS COLUNAS (FEATURES) - CAIXA DA LANCHONETE ESCOLAR
# 1. preco_item      : Preço de venda praticado para o item no dia (Real/Float)
# 2. custo_item      : Custo de aquisição/ingredientes do item (Real/Float)
# 3. temperatura     : Temperatura média diária em ºC (Real/Float)
# 4. estoque_inicial : Quantidade preparada/comprada para venda no dia (Real/Float)
# 
# VARIÁVEL ALVO (CLASSE):
# - classe           : 1 se o item esgotou (demanda >= estoque), 0 se sobrou item (Float)
# ==============================================================================
preco_item,custo_item,temperatura,estoque_inicial,classe
5.08,2.64,27.4,86.0,0
4.49,2.32,23.6,92.0,0
6.7,3.95,19.2,47.0,0
4.2,2.14,18.1,72.0,0
4.46,1.99,29.1,78.0,0
4.32,2.41,26.8,45.0,1
6.24,3.63,31.5,29.0,1
7.61,3.71,24.4,58.0,0
3.4,1.39,23.6,61.0,1
4.14,2.21,32.2,95.0,0
3.2,1.76,24.4,76.0,1
5.93,3.12,24.8,31.0,1
4.61,1.94,18.2,72.0,0
7.73,4.35,26.0,78.0,0
3.58,1.99,32.3,20.0,1
5.07,2.22,22.2,83.0,0
4.02,2.05,33.6,76.0,1
3.14,1.65,31.0,40.0,1
7.21,3.05,33.9,39.0,1
5.54,2.52,31.7,80.0,0
4.92,2.88,25.2,37.0,1
6.95,3.36,33.7,84.0,1
5.9,3.14,32.3,77.0,1
5.76,2.93,24.1,61.0,0
7.28,3.51,21.4,80.0,0
4.93,2.63,31.4,39.0,1
5.51,2.85,32.4,76.0,0
4.99,2.08,21.6,88.0,0
6.59,3.64,32.4,24.0,1
6.42,2.94,19.5,31.0,1
6.17,3.54,23.9,58.0,1
4.87,2.09,25.6,92.0,0
3.88,2.02,22.7,50.0,1
4.16,2.19,24.2,21.0,1
4.44,2.26,16.5,64.0,0
8.0,4.57,17.1,68.0,0
7.96,3.65,34.6,70.0,0
6.43,3.53,16.0,97.0,0
7.51,4.17,19.6,65.0,0
4.25,2.34,30.3,37.0,1
6.23,2.88,23.8,94.0,0
7.55,3.51,23.3,45.0,0
7.86,3.98,33.3,41.0,1
5.41,3.04,29.9,63.0,1
3.38,1.86,19.5,70.0,0
3.07,1.56,24.1,53.0,1
7.7,3.25,19.7,23.0,1
6.24,3.29,24.3,58.0,1
3.23,1.32,34.9,34.0,1
6.35,3.48,33.9,73.0,1
7.43,3.95,31.7,98.0,0
3.16,1.5,23.9,50.0,1
7.89,3.72,23.0,44.0,1
4.06,2.14,34.4,26.0,1
3.63,1.86,16.4,90.0,0
7.35,3.42,18.0,96.0,0
4.25,1.85,28.2,23.0,1
6.94,3.59,15.3,53.0,0
5.38,2.99,25.3,33.0,1
6.08,3.32,33.2,86.0,0
3.16,1.9,31.9,74.0,1
7.55,3.13,16.6,97.0,0
6.12,3.16,29.2,68.0,1
3.5,1.89,32.1,90.0,1
5.26,2.34,21.8,78.0,0
4.56,2.11,20.1,39.0,1
3.46,1.44,23.6,67.0,1
5.93,3.04,21.6,35.0,1
7.71,3.74,33.3,26.0,1
4.06,2.16,19.5,33.0,1
3.57,1.63,19.5,74.0,0
6.21,2.52,33.6,54.0,1
6.81,3.98,22.0,43.0,1
5.0,2.14,27.7,23.0,1
4.88,2.39,18.1,59.0,1
5.84,2.44,16.1,40.0,0
5.12,2.67,23.3,47.0,1
5.15,2.35,28.6,82.0,0
4.1,2.45,16.1,46.0,1
3.69,1.66,21.6,20.0,1
3.65,1.85,19.6,91.0,0
6.55,3.17,17.3,22.0,1
6.45,3.05,23.7,33.0,1
5.62,2.69,21.2,63.0,0
3.38,1.78,25.6,44.0,1
6.64,3.74,31.3,50.0,1
3.87,1.67,30.2,29.0,1
6.8,3.33,33.5,92.0,0
5.34,2.81,30.9,95.0,0
4.55,2.23,16.1,56.0,1
5.54,2.73,26.1,25.0,1
6.26,2.91,24.5,39.0,1
7.05,4.0,34.6,30.0,1
4.24,2.07,23.8,86.0,0
7.59,3.62,30.5,96.0,0
5.79,2.76,20.0,97.0,0
